CTL,TSTRNG,DMILK,FAT,PRO,SCC
2,,39,3.35,2.93,10
5,,50,3.8,3.24,14
6,,45,3.95,2.65,48
7,,45,4.52,2.87,6
8,,29,4.5,2.9,159
10,,42,3.19,2.75,4
15,,67,2.75,2.78,44
18,,95,2.08,2.74,99
25,,33,3.88,3.14,262
26,,40,4.5,3.26,55
30,,58,4.32,3.1,9
33,,48,4.35,3.67,2805
34,,61,3.28,2.81,10
36,,77,4.25,2.48,88
37,,46,4.29,2.48,7
38,,84,2.65,2.54,6
41,,28,1.98,2.58,9
42,,42,3.57,3,10
44,,44,3.97,2.74,91
46,,41,3.03,2.71,10
48,,31,3.37,3.01,11
49,,48,3.87,2.97,63
52,,41,3.45,2.92,927
53,,49,3.77,3.17,10
58,,68,3.3,2.6,111
59,,71,2.91,2.67,10
60,,32,3.53,2.86,87
62,,38,3.17,2.93,10
63,,67,3.92,2.92,47
66,,60,3.42,3.37,8
67,,50,2.77,2.55,71
68,,38,3.59,2.91,173
74,,34,3.08,2.52,96
75,,80,2.42,3.23,10
78,,70,3.4,3.58,112
79,,39,3.23,2.65,49
80,,52,3.18,2.55,4
82,,55,3.25,3.36,352
87,,16,1.94,3.03,10
88,,39,2.84,2.69,5
89,,27,3.58,2.98,15
90,,82,3.51,3.12,11
91,,54,3.39,2.49,17
92,,27,3.3,2.41,13
95,,30,3.65,3.15,142
96,,45,2.83,3.02,4
98,,39,3.33,2.93,14
101,,85,3.1,3.07,12
102,,40,3.53,2.96,1353
104,,37,4.24,3.49,10
105,,30,3.48,3.24,3
106,,56,3.35,3,603
109,,57,3.06,2.57,50
114,,37,2.79,2.4,15
115,,26,4.04,2.94,83
116,,85,3.23,2.83,10
117,,34,3.44,2.71,79
120,,24,3.58,2.49,233
121,,23,3.7,3.16,359
126,,62,3.69,3.25,53
127,,41,3.4,2.47,74
128,,39,3.54,3.03,15
132,,72,2.6,3.11,174
134,,76,2.99,2.54,336
136,,45,3.31,2.61,42
137,,32,4.32,3.35,380
140,,39,3.02,2.87,3
152,,41,3.47,2.7,167
153,,47,2.36,2.66,10
154,,38,3.48,2.87,20
155,,63,3.47,3.1,58
157,,50,3.56,3.14,48
158,,42,3.54,3.13,75
159,,39,3.32,2.95,71
161,,36,4.67,2.56,6
162,,59,2.16,3.08,774
163,,103,2.47,2.56,10
164,,87,3.21,2.86,83
165,,34,3.24,2.56,52
168,,34,3.87,2.76,9
169,,44,3.09,2.63,292
170,,71,3.02,2.92,4
195,,32,2.81,2.76,5
199,,60,3.15,2.63,12
201,,46,3.57,3.49,31
208,,54,3.98,2.91,66
222,,42,4.01,3.02,6
260,,53,2.76,2.56,7
273,,59,2.69,2.69,831
278,,36,3.11,2.41,140
301,,27,3.14,2.39,89
302,,47,2.28,2.85,48
303,,46,3.43,2.62,9
304,,31,2.52,4.12,2659
305,,75,2.94,2.73,188
307,,29,4.42,3.7,288
308,,32,4.35,3.09,3
309,,50,3.6,3.1,9
310,,90,2.66,2.66,102
314,,23,3.02,2.21,64
315,,42,3.22,2.4,97
317,,36,3.7,2.67,13
352,,26,4.53,3.51,2
357,,40,4.09,2.66,10
374,,57,3.48,2.78,313
409,,41,3.42,2.86,7
411,,65,3.58,2.66,370
416,,47,3.7,2.73,13
419,,52,3.25,2.71,82
423,,48,3.19,2.7,6
425,,88,3.31,2.48,1368
431,,62,3.28,3.09,1061
433,,23,3.62,2.66,10
435,,62,3.53,2.66,2
437,,41,3.6,2.68,10
438,,57,2.68,2.91,70
441,,47,3.5,2.98,232
442,,50,3.77,3.18,11
443,,29,3.44,3.01,63
444,,44,3.16,2.89,547
454,,62,3.82,3.27,48
458,,57,3.97,2.99,90
462,,25,3.22,2.76,4
463,,33,3.22,2.43,3
467,,60,3.19,2.95,10
468,,66,3,2.97,361
470,,69,2.89,2.73,10
475,,86,3.23,2.78,6
482,,51,3,2.72,11
484,,17,5.56,4.02,508
485,,51,3.06,2.84,48
492,,44,3.73,2.63,10
493,,51,3.4,2.79,5
495,,41,4.22,2.92,83
134,,6526,,,
