Banned or Severely Restricted Pesticides (U.S. Environmental Protection Agency),,,,,,
Chemical Name,,,,,,CAS Registry Number (or EDF Substance ID)
ALDRIN,,,,,,309-00-2
ARSENIC OXIDE (3),,,,,,1327-53-3
ASBESTOS (FRIABLE),,,,,,1332-21-4
AZODRIN,,,,,,6923-22-4
"1,4-BENZOQUINONE, 2,3,5,6-TETRACHLORO-",,,,,,118-75-2
BINAPACRYL,,,,,,485-31-4
"2,3,4,5-BIS (2-BUTENYLENE) TETRAHYDROFURFURAL",,,,,,126-15-8
BROMOXYNIL BUTYRATE,,,,,,EDF-186
CADMIUM COMPOUNDS,,,,,,CAE750
CALCIUM ARSENATE [2ASH3O4.2CA],,,,,,7778-44-1
CAMPHECHLOR,,,,,,8001-35-2
CAPTAFOL,,,,,,6/1/2425
CARBOFURAN,,,,,,1563-66-2
CARBON TETRACHLORIDE,,,,,,56-23-5
CHLORDANE,,,,,,57-74-9
CHLORDECONE (KEPONE),,,,,,143-50-0
CHLORDIMEFORM,,,,,,6164-98-3
CHLOROBENZILATE,,,,,,510-15-6
CHLOROMETHOXYPROPYLMERCURIC ACETATE [CPMA],,,,,,EDF-183
COPPER ARSENATE,,,,,,10103-61-4
"2,4-D, ISOOCTYL ESTER",,,,,,25168-26-7
DAMINOZIDE,,,,,,1596-84-5
DDD,,,,,,72-54-8
DDT,,,,,,50-29-3
DI(PHENYLMERCURY)DODECENYLSUCCINATE [PMDS],,,,,,EDF-187
"1,2-DIBROMO-3-CHLOROPROPANE (DBCP)",,,,,,96-12-8
"1,2-DIBROMOETHANE",,,,,,106-93-4
"1,2-DICHLOROETHANE",,,,,,107-06-2
DIELDRIN,,,,,,60-57-1
"4,6-DINITRO-O-CRESOL",,,,,,534-52-1
DINITROBUTYL PHENOL,,,,,,88-85-7
ENDRIN,,,,,,72-20-8
EPN,,,,,,2104-64-5
ETHYLENE OXIDE,,,,,,75-21-8
FLUOROACETAMIDE,,,,,,640-19-7
GAMMA-LINDANE,,,,,,58-89-9
HEPTACHLOR,,,,,,76-44-8
HEXACHLOROBENZENE,,,,,,118-74-1
"1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE (MIXTURE OF ISOMERS)",,,,,,608-73-1
"1,3-HEXANEDIOL, 2-ETHYL-",,,,,,94-96-2
LEAD ARSENATE,,,,,,7784-40-9
LEPTOPHOS,,,,,,21609-90-5
MERCURY,,,,,,7439-97-6
METHAMIDOPHOS,,,,,,10265-92-6
METHYL PARATHION,,,,,,298-00-0
MEVINPHOS,,,,,,7786-34-7
MIREX,,,,,,2385-85-5
NITROFEN,,,,,,1836-75-5
OCTAMETHYLDIPHOSPHORAMIDE,,,,,,152-16-9
PARATHION,,,,,,56-38-2
PENTACHLOROPHENOL,,,,,,87-86-5
PHENYLMERCURIC OLEATE [PMO],,,,,,EDF-185
PHOSPHAMIDON,,,,,,13171-21-6
PYRIMINIL,,,,,,53558-25-1
SAFROLE,,,,,,94-59-7
SODIUM ARSENATE,,,,,,13464-38-5
SODIUM ARSENITE,,,,,,7784-46-5
"2,4,5-T",,,,,,93-76-5
TERPENE POLYCHLORINATES (STROBANE6),,,,,,8001-50-1
THALLIUM(I) SULFATE,,,,,,7446-18-6
"2,4,5-TP ACID (SILVEX)",,,,,,93-72-1
TRIBUTYLTIN COMPOUNDS,,,,,,EDF-184
"2,4,5-TRICHLOROPHENOL",,,,,,95-95-4
VINYL CHLORIDE,,,,,,75-01-4
